id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
36110,USDC,Heco,Belt,0.0,0.029,0.029,200000,https://api.coindix.com/vault/36110/redirect,False,False,C,yes
35037,USDT-BUSD,BNB Chain,Alpaca,0.01630769,0.01226905,0.02877626,151754,https://api.coindix.com/vault/35037/redirect,False,False,C,yes
17671,DAI,BNB Chain,Venus,0.01961203,0.00897878,0.02859081,6947265,https://api.coindix.com/vault/17671/redirect,False,False,C,yes
36108,DAI,Heco,Belt,0.0,0.0276,0.0276,200000,https://api.coindix.com/vault/36108/redirect,False,False,C,yes
16409,DAI-BUSD,BNB Chain,Beefy,0.02724244,0.0,0.02724244,37905,https://api.coindix.com/vault/16409/redirect,False,False,C,no
16973,MAI-DAI,Polygon,Beefy,0.02715764,0.0,0.02715764,225610,https://api.coindix.com/vault/16973/redirect,False,False,C,no
14083,DAI-USDT-USDC,Arbitrum,Balancer,0.0271,0.0,0.0271,878662,https://api.coindix.com/vault/14083/redirect,False,False,C,no
54147,USDC-USDT,Aurora,Beefy,0.0267705,0.0,0.0267705,55436,https://api.coindix.com/vault/54147/redirect,False,False,C,no
145782,BUSD-USDC-TUSD,BNB Chain,ACryptoS,0.0,0.0265,0.0265,326000,https://api.coindix.com/vault/145782/redirect,False,False,C,yes
16374,USDT-BUSD,BNB Chain,Beefy,0.02609312,0.0,0.02609312,561163,https://api.coindix.com/vault/16374/redirect,False,False,C,no
14793,USDT-USDC,BNB Chain,Autofarm,0.02599969,0.0,0.02599969,41234,https://api.coindix.com/vault/14793/redirect,False,False,C,no
40278,USDC-fUSDT,Fantom,SpookySwap,0.0259,0.0,0.0259,112240,https://api.coindix.com/vault/40278/redirect,False,False,C,no
17339,BUSD,BNB Chain,ACryptoS,0.0259,0.0,0.0259,105000,https://api.coindix.com/vault/17339/redirect,False,False,C,no
51843,USDT-USDC-BUSD-DAI,BNB Chain,Autofarm,0.02570555,0.0,0.02570555,432959,https://api.coindix.com/vault/51843/redirect,False,False,C,no
113628,USDT-BUSD,BNB Chain,Autofarm,0.02550092,0.0,0.02550092,557876,https://api.coindix.com/vault/113628/redirect,False,False,C,no
